Customer_Name,Date,Review
Jada,03/02/2019,I won’t touch another Indian takeaway. I’ve tried others via friends - going with their choice and I can’t be swayed! I’m a Dilwar girl for life!
Leigh,02/02/2019,None
Beáta,01/02/2019,"Food was amazing, I was a little bit sceptical as I ordered first time but I have enjoyed the dish.
The driver was late abou half an hour from estimated time but probably it was due to heavy snow. 
I'll definitely order again!"
Louvain,01/02/2019,"just loving the Garlic chicken and the rice is just how I like it, lovely fragrance to it."
leigh,01/02/2019,None
Amy,27/01/2019,None
Paul,25/01/2019,All very good!
Simon,25/01/2019,None
annie,25/01/2019,None
Louvain,24/01/2019,"no waiting around for delivery, just what you want when hungry.."
Sarah,23/01/2019,"Food came quickly, was hot and fresh and very tasty. have to say I don’t have takeaway curries often but this one was really nice"
Steffan,22/01/2019,Delicious as always.
kate,22/01/2019,None
Liam,20/01/2019,Really nice food and the delivery guy was respectful
SWAPNIL,18/01/2019,None
kate,16/01/2019,"Lovely food, fast delivery,will definitely order again, 100%"
Louvain,16/01/2019,great service from Dillarr food always hot and always of the same standard.
Lucy,15/01/2019,None
niki,15/01/2019,None
James,13/01/2019,None
Prasanga,13/01/2019,None
Hassan,13/01/2019,None
Jessica,04/01/2019,None
Louvain,03/01/2019,they also make burgers for those who dont want a curry perfect for our household.
Dawid,02/01/2019,None
matthew,31/12/2018,Amazing food gd value def order again
Louvain,31/12/2018,"fast delivery, hot food, lovely food what more do you want."
Samantha,30/12/2018,very tasty and arrived slightly earlier than they predicted 👍🏼
Kalman,30/12/2018,"Tasty food, prompt service"
Ivana,29/12/2018,food was good. delivery was good but I was missing items so not happy
Fahad,24/12/2018,spot on
Martin,23/12/2018,None
Louvain,22/12/2018,"we order from these all the time, we know we are getting a good meal from these guys."
Jessica,20/12/2018,Lovely service and food for Christmas Day! Thank you!
annie,17/12/2018,None
Jada,14/12/2018,"Beautiful food, so tasty! The only downfall is their keema naan has changed, I do prefer the keema naan they done for years. The new one is good, just miss the old one which was a bit better."
Tracey,14/12/2018,It was a good experience
kate,12/12/2018,Lovely thank you 😀
Louvain,12/12/2018,perfect as usual.
Amie,11/12/2018,Food was delivered ahead of schedule which was amazing! Definitely a great surprise.
Prasanga,10/12/2018,None
Michael,08/12/2018,None
Louvain,03/12/2018,"first time trying these guys., food was delivered fast and hot. loved the food will deffo use again."
Michael,01/12/2018,None
Del,30/11/2018,"I USED TO ORDER MORE THAN FREQUENTLY FROM HERE BUT THESE TWO KEBAB'S WERE ABSOLTELY VILE . DISCUSSED YOU SHOULD DELIVER SUCH HORRID MEALS  . 
NO POINT IN COMPLAINING , YOU KNOW WHAT YOU SENT . 
* * AND I CHECKED Reading HYGIENE WEBSITE - THEY ARE NOT ""5 Stars"" THEY HAVE BEEN DISGRACED TO ONLY:  ""2 Stars""  * *"
Steffan,27/11/2018,None
Imran,24/11/2018,None
dale,22/11/2018,Normally food from here is amazing but this time the food smelt like dog food and was not edible. Whatever has changed has put me off then resteraunt unfortunately
Holly,20/11/2018,None
Whaid,18/11/2018,amazing tried these guys and wow didn’t disappoint trying again tonight think we found are new place
Tina,17/11/2018,Food was delivered very quickly and tasted great! Great value for money.
Del,15/11/2018,"Balti Bhuna, Chicken, 5*s
Aloo Mattar, ???"
Ram,14/11/2018,None
Jada,10/11/2018,"Delicious food, I’ve converted my fiancé to love Dilwar just as much as me, he once favourited a Chinese over an Indian, that was until he tasted the beautiful dishes from Dilwar! 16 years of custom and counting!"
John,10/11/2018,None
Nitya,09/11/2018,None
Ray,08/11/2018,"Possibly the worst way I’ve ever spent nearly £25, lets start with the positives, The rice was ok, now the rest…. Chicken Donner was tasteless the naan it sat upon was like chewing through rubber, the meat pieces cut so small it was like roughly chopped minced chicken, the half tandoori chicken was so so dry and yet sitting in so much smoky flavoured water, to be honest maybe the worst tandoori I have ever eaten, not sure what it was marinated in but certainly not the yogurt and spices I have been used to in the past, even the yogurt mint sauce was like water, next comes the £2 slice of bread they referred to as a naan, again it was like rubber and even worse than any supermarket naan I have ever attempted to eat, now for the main dish that was sold as Ceylon King Prawn, now this was classic, over cooked rubber prawns sitting in a thin fire water, no flavour whatsoever other than fiery chillies, goodness knows how hot their Phall curries would be if this was anything to compare to, again nothing like the many Ceylon curries I have tasted either here in Reading or elsewhere. One prawn and one mouthful was all that was necessary to decide that this was going nowhere except the bin. This is the first time I have tried this takeaway, and most definitely the last. I can in all honesty say that I have never ordered a meal so poor in my entire life, and I’d be surprised if I was as unlucky to order another,Sadly I’m sure I have to give a minimum of 1 star, personally I would give it (minus)-4 stars if I could.  I bought this as a treat to sit and watch through the football, but instead went to my freezer, got out some onion bhaji’s and opened a pkt of mini poppadums and had with assorted chutney and lime pickles instead but hey, the delivery guy was pleasant, always good to finish on something nice to say. 
P.S. Has everywhere stopped giving the odd poppadum for free?"
Sarah,02/11/2018,"delivery driver was very friendly.. however food was late, I ordered a korma but it didn’t taste like a korma at all"
leigh,29/10/2018,Banging curry!
Catherine,28/10/2018,"The food was ready on time, but the Madras had literally NO spice - I had to put my own hot sauce into it! A Madras is not meant to be a bland dish with watery gravy. The Bhuna also really lacked flavour too, which was disappointing."
Helen,27/10/2018,None
Del,25/10/2018,"Great as per usual.
Thank You ."
Basit,25/10/2018,None
IBRAHIM,24/10/2018,None
Basit,23/10/2018,None
Basit,22/10/2018,"Service and delivery was great but food was dissapointing. I ordered Lamb and it wasn't fully cooked and i had the feeling of eating rubber as it was chewy and hard. I wouldn't recommend having Lamb or meat with this restuarant. However, chicken is fine."
Maldini,21/10/2018,None
Mark,21/10/2018,None
John,21/10/2018,Lovely as usual
Lucy,16/10/2018,"amazing, came 20 mins early aswell👌🏽"
Basit,16/10/2018,None
Basit,15/10/2018,None
Del,11/10/2018,: )
Alice,06/10/2018,"The food was disappointing. Lacking in flavour, sauce was watery and i would not recommend at all. Will not order again and not worth the money we spent."
Del,05/10/2018,5*s
Del,28/09/2018,Fab
Kerry,22/09/2018,Horrendous food but can of coke was nice
Del,19/09/2018,None
annie,11/09/2018,None
Zoe,11/09/2018,"Arrived very quickly, which made me doubt the quality. Everything was over spicy and pretty bland. Not enjoyable at all."
Rebecca,03/09/2018,None
Steffan,02/09/2018,Very nice as always.
liane,01/09/2018,Was to spicy couldnt eat it orderd jalfresi curry but tasted more like  vindalo
Del,31/08/2018,None
glen,30/08/2018,None
Del,28/08/2018,None
45,23/08/2018,"We were very happy with this tasty food, we loved the samosas and our King prawn biriani was hot and fresh accompanied by Excellent garlic naan bread."
sally,17/08/2018,None
Kabir,14/08/2018,None
Graham,03/08/2018,None
Sujatha,22/07/2018,Paratha and sheekh kabeb was horrible! but food delivered on time
glen,21/07/2018,The flavours were fantastic and the service was outstanding I will be ordering again in the near future
Del,12/07/2018,None
James,05/07/2018,"BE AWARE IF YOU MAKE ORDER OVER THE PHONE AND PAY BY CARD THEY WRITE DOWN YOUR BANK CARD DETAILS! Found out other evening while making my takeaway order over the phone that they write down your card details and then process your payment through the card machine after you have hung up.I placed my order then wanted to pay by card, I was then asked for my card details which I gave over the phone. At this point I realised I hadn't been told how much my order was so I asked. The staff member told me to wait as he worked it out. I asked how he just processed my payment if he didn't know how much it was? Then he told me he had wrote my card details down on paper.I thought they had been put straight into the card machine as it should be done.I was passed onto the owner who asked me if I wanted to cancel the order and pick it up instead and pay on arrival. I pointed out this would make no difference as you have already got my card details written down on paper. And the whole idea of a takeaway was so I didn't leave my house. This is against Payment Card Industry Directive on Security Standards. Card details should be kept private and should not be written down. I did not give permission for my personal details to be written down. I do not know that they will follow the requirements to safeguard my details and dispose of them accordingly.The owner told me he strongly suggests I cancel my card and get a new one. This indicates to me that my details on a peice of paper are not safe and are not going to be disposed of correctly, or why else would I have to cancel my card? I was told all there customers pay this way, well I am sure they are not aware they are writing down there bank card details.SO IF OTHER PEOPLES CARDS DETAILS HAS BEEN USED SOMEWHERE ELS THEY KNOW WHERE ITS LEAKED FROM.This is not good practise and I am sure others would not be happy either.Payments took over the phone should be processed while the customer is on the phone still."
andrew,29/06/2018,None
Bev,26/06/2018,"the Owner turned up with the delivery with the order, but said some of the items were not on the menu which were on Just Eat, he said as a regular customer he had my order which I ordered, but after checking my order it was smaller potions than usual and the Curry very watery. The owner told me to contact Just Eat for a refund which I did, but after Just Eat contacting Dilwar they refused to give the refund. I am so sad because I have used Dilwar for at least 20 years, so if is the way they treat their regulars then I'd rather not be a part of it."
Steffan,24/06/2018,None
vanessa,23/06/2018,"Sheet kebabs too spicy for our taste. Our dishes , lamb passanda, lamb like bullets. Chicken tikka Balti and vegetable korma were not good."
Del,19/05/2018,"Perfect. Thank you. Again.
Very Quick Delivery.
Lots of succulent Chicken in both dishes.
Extra treat included. 
;¬)"
Bev,18/05/2018,"Normally great food, but unfortunately on this occasion far too much oil"
Tracey,12/05/2018,None
Mamta,12/05/2018,Food was nice - a bit too oily but taste good.
Rafal,10/05/2018,None
stephanie,24/04/2018,Amazing food!
Vivek,20/04/2018,None
mel,09/04/2018,First time we've ordered from here and certainly won't be the last... was the best kebab we've had in a long time. Meat was cooked just right and tasted lovely. Liked that it was served in naan bread instead of pitta... and price was good compared to other restaurants - portions were good size too... Would definitely recommend 😁
George,03/04/2018,"Quite honestly the worst curry I’ve had. The consistency was like squash, I even stirred in my own flour to try to give it some thickness. Was not nearly spicy enough either. Seriously 👎🏻."
Grant,30/03/2018,food was great! came 20 minutes early was really hot still large portions on the lamb pathia with very tender meat sag aloo was also great sized and delicious! Impressed as it was my first trying here!
Robert,27/03/2018,banana curry nommmmmmm
Mark,23/03/2018,Superb best in Reading
Sarah,17/03/2018,None
lee,15/03/2018,"Good food and great service, added food after my order by calling in to the shop and they was more than accomodating"
Deanna,15/03/2018,None
Imran,13/03/2018,None
Bev,04/03/2018,None
george,04/03/2018,None
carla,03/03/2018,None
Sukhwinder,24/02/2018,So delisious. I never had delisious food like this for long time.
Caroline,20/02/2018,Always early/ on time. Always hot and always correct. Cannot big them up enough after 10 consistent orders. Never another takeaway again!.
james,18/02/2018,Excellent food service great
Steven,13/02/2018,None
Guy,09/02/2018,Very good meal and would buy again
annie,04/02/2018,None
Temiloluwa,03/02/2018,None
Caroline,02/02/2018,No matter what we order it is always amazing and always hot. Thank you
Caroline,01/02/2018,"Absolutely fanstatic, will definitely order again"
Bhrijesh,01/02/2018,None
Del,24/01/2018,None
Amanda,14/01/2018,Amazing!
Alex,14/01/2018,None
Del,12/01/2018,"Nice juicy Meat, not greasy, in Nan Bread."
Eszter,10/01/2018,None
Mark,04/01/2018,Excellent - compliments to the chef
annie,30/12/2017,None
Julie,22/12/2017,Will be back again
Sanjog,17/12/2017,None
annie,16/12/2017,always superb
Sophie,14/12/2017,None
Sadia,14/12/2017,None
Danielle,10/12/2017,"The delivery driver was polite, food was on time, my note was read which I am impressed with because not every restaurant reads your note, oh my goodness the food was delicious, I will definitely be ordering from here again."
Carlos,10/12/2017,None
Andy,10/12/2017,"30 mins late, food quality so poor it must be the worst I’ve ever had in Reading. it went straight in the bin."
Alison,04/12/2017,"absolutely delicious. 
highly recommend"
Bev,03/12/2017,Excellent value for money
Grace,02/12/2017,Lovely
Steven,30/11/2017,Very tasty food. Good value for money and good portion sizes
annie,30/11/2017,None
annie,20/11/2017,None
Tayyba,19/11/2017,None
Omer,16/11/2017,None
Suzan,15/11/2017,Brilliant ...... brilliant ..... brilliant 👍🏻👍🏻👍🏻👍🏻
David,11/11/2017,None
Paul,02/11/2017,Certainly one of the best Indian takeaways I've had. Thoroughly enjoyed it.
Rohan,13/10/2017,"As usual Our most favourite curry house ( after trying disappointingly aweful places elsewhere) fully loaded curries & biriyani's ! I really hope this restaurant lose the current Chef's !! these guys are absolute authentic and worth every penny, great customer service also, thank you"
tahira,07/10/2017,"First and last time I'll be ordering from this place . Burnt pakoreh, watery tasteless tarka daal,  uncooked fish.  This is dangerous, feeding people food that could potentially harm them. Waste of money and very disappointed as I only ordered due to the reviews."
Adam,03/10/2017,None
Jake,01/10/2017,Food was good service was good :)
Juanita,27/09/2017,None
Rohan,15/09/2017,"tonight Our food order arrived ontime, very friendly caring delivery driver, the food WAS MARVELLOUS, WE HAVE BEEN BLOWN AWAY, everything so perfect , flavorsome , generous & lovingly made.. absolute wonderful.. will order again.. 100% YES."
Dee,10/09/2017,The first restaurant I have ordered from with Just Eat that actually turned up around the estimated time. Food was amazing and all very reasonably priced. May be my new favourite place.
VIVEK,08/09/2017,Good overall.
Nick,02/09/2017,None
kate,26/08/2017,"Really enjoyed our meal, lovely food, very prompt delivery. Will definitely order again."
Owen,26/08/2017,Ordered a vegetable biryani but it did not come with curry sauce. Since when does biryani not come with curry sauce as standard?!? Thankfully I'd ordered a Dahl as well so could use that as a curry for the rice but I essentially bought very expensive vegetable rice. The Dahl was very oily. The food was all too salty. We called the restaurant to ask where the curry sauce was and the man was rather rude and basically said it should never come with sauce and we have it completely wrong in this country. Will not be using them again.
Olivia,23/08/2017,None
Karl,20/08/2017,Love this place
Tony,19/08/2017,"nice food and not kept waiting, thanks"
layla,14/08/2017,pizza was lovely. bun on chicken burger was soggy
Tej,10/08/2017,None
Cindy,02/08/2017,very yummy and very filling nice and fresh when arrived will order again from here soon
Krisztian,28/07/2017,None
Margaret,27/07/2017,Excellent food and great meal deal
Rohan,13/05/2017,"the biryani wasn't that tasty or goodness full of ingredients, kebab is not the best we tasted but this isn't the first time that it has tired salad and cheap pound shop chilli sauce on it...not worth it.."
Joanna,12/05/2017,Lovely food :)
Livingston,10/05/2017,None
samera,10/05/2017,None
Leroy,06/05/2017,Its soo good
John,06/05/2017,"Love this place, never disappointed  with there food 10/10"
sofia,05/05/2017,the biriyani was not at all as per the taste of the last two orders. Seekh kebabs were full of colour and the Karahi Chicken was also very poor in taste and quality. Didn't expect this from this restaurant as ordered before as well and the food was pretty good then. Very disappointed. Will not order again
Adam,04/05/2017,"Excellent food. If you live in the south of Reading, probably the best local place to order Indian food."
Barry,02/05/2017,"Added time onto my order, food quality was poor."
samantha,02/05/2017,None
Amanda,22/04/2017,None
Elena,15/04/2017,None
David,08/04/2017,None
Raven,07/04/2017,None
Kerrie,05/04/2017,None
Joe,02/04/2017,None
Danny,27/03/2017,One thing I am not happy about I asked for bbq wings a d got hot a spicy wings and burnt my mouth as I cant do spicy things and don't like them
Maxwell,25/03/2017,Ordered cod and chips. Fish was tasteless and weirdly tough.... Cod usually flakes off but the fish I received was tough and horrible. Sag paneer was under seasoned. Keema naan was nice though
Jack,23/03/2017,Long wait for food plain naan delivered instead of cheese naan and forgot about drink the food that came was lovely though
Rohan,18/03/2017,"tonight's food wasn;t great !
the pizza base is bit gooey & cheese was kind of bit burnt, tasty crust however, the mixed kebab meat was too dry and only laced with a lot of chilli sauce that has lots of sugar in it , guys the chilli sauce you use on kebabs are so cheaply made & it doesnt taste right, you need to make your own fresh chilli sauce for kebabs, not enjoyed the kebab tonight,the salad on kebab is very tired ( seems like they were cut this morning & not fresh ) , i know Pindi express does good biriyanis and curries but with pizza and kebab quality we are very disappointed"
Steven,18/03/2017,None
Georginger,13/03/2017,None
Simon,12/03/2017,"Really pleased with trying this place out for the first time.

Great curries, lovely Haleem. Will be ordering again"
Hari,07/03/2017,"As usual... great food, fast delivery."
Joanna,05/03/2017,None
Del,26/02/2017,"1st time order.
Delivery in 25 mins from order click.
Best Lamb Kebab in awhile, soft but not greasy. 
Chicken Curry = Nice, mild, soft.
Chicken Biryani = more Kick than the Curry.
Others have left negative comments regarding Poppadoms but mine were fine, Crisp, not greasy. 
A few complimentary items 
 "" Thank You "" 
Will use again ."
Dal,23/02/2017,"Awful awful food, one of the worst pizzas I have ever had. Hardly no sauce, minimal cheese and scarce on toppings. The chicken wings were dry and hard - wouldn't use again. On the postive delievery was within the time stated but most of it went into the bin after a few bites"
Lindsey,18/02/2017,Beat chicken tikka masala and Mann bread I've tasted definitely will be ordering from pindi express again
Hari,16/02/2017,"Thanks for the drink, appreciate the gesture..."
Raven,16/02/2017,None
andrew,15/02/2017,None
Caroline,13/02/2017,None
Mr,12/02/2017,One of the worst meals I have ever eaten. Nothing at all tasted decent. Even the poppadom was undercooked! The lamb was shockingly attorcious in everything from the keema paratha to the lamb curry. I will never ever order from this place again.
Mr,10/02/2017,None
Rowan,10/02/2017,None
Dennis,10/02/2017,Very tasty and well cooked.
Harry,09/02/2017,"First time i've ordered from here, food took about 15 minutes to arrive and arrived hot, nice big portions and tastes good too. Really friendly delivery guy, would use again!"
Jess,04/02/2017,None
Demi,02/02/2017,This restaurant dont even deserve starts apart from timing it was absloutley disguesting the chicken was pink the pizza had been reheated from like 3days ago if i get food posinoning then there to blame. If i had cooked this food i would of been so ashamed to even let my worst enermy eat it!! Sort it out before you kill someone
michael,01/02/2017,"Nice taarka Daal, spicy pompadoms were not restaraunt type but cheap ones. Can't fault cause I got a free onion salad though."
Hari,01/02/2017,None
Hari,28/01/2017,None
Caroline,21/01/2017,Food was nice but unfortunately cold even though it was delivered early!
Rowan,21/01/2017,None
Shereen,18/01/2017,None
Hari,17/01/2017,None
Maciej,06/01/2017,A1
Derek,04/01/2017,None
Vivek,29/12/2016,None
craig,18/12/2016,Very nice flavours and turned up exactly when it said it would. Good price too
Rameez,17/12/2016,Everything Was great. but its too too too spicy. i mostly eat spicy food. but its too spicy food. please everyone don't like too spicy curry.
mimie,16/12/2016,The delivery was prompt and the food was delicious.  Thumbs up!!!
Abhishek,15/12/2016,None
Atif,14/12/2016,"Have ordered two of their speciality, it was total disappointment!! Everything went in the bin.👎👎👎"
Winston,10/12/2016,None
James,10/12/2016,"Ordered at 20:35 and delivery on just eat stated approx 21:20. Received e-mail confirmation from restaurant with delivery time of 21:50 (fair enough). Food arrived at 22:20, not even an apology for being late. Food was ok, nothing special and was only just about hot enough. Will definitely not be ordering from Pindi Express again, don't actually know how they have 'Express' in their name, lol! Not recommended!"
Joshua,10/12/2016,None
Darren,10/12/2016,None
mark,03/12/2016,Very good food
Rowan,02/12/2016,None
Winston,30/11/2016,None
Sarthak,30/11/2016,Good food. Best thing was that it had less oil compared to normal takeaway. Keep up the quality
Ed,27/11/2016,None
Luke,27/11/2016,None
Roger,27/11/2016,None
Tarun,26/11/2016,None
mark,26/11/2016,"Very good , fast delivery , quality food will be ordering again"
Mahalia,22/11/2016,None
Sophie,20/11/2016,None
Daniel,19/11/2016,"Have used these guys twice now, food always great, really tasty, fast delivery, friendly and helpful. Our new regular Indian takeaway!"
Mohsin,18/11/2016,Food was to dry
Winston,17/11/2016,None
Rohan,11/11/2016,"Foodies...here you go..Reading's best ever curries and food you can order from this place is extra ordinary authentic, no I dont have shares in this restaurant & I come from south asia and I tell you the truth.. masterful food from this place,  VERY HIGHLY RECOMMENDED FOOD.."
Rowan,09/11/2016,None
Cliff,07/11/2016,None
Winston,04/11/2016,None
Rowan,04/11/2016,None
Steven,03/11/2016,"Second time I have ordered and would keep coming back, good food and good service delivered quick"
Daniel,01/11/2016,Lovely food and the delivery was on time! Even though he struggled finding the address. Thanks
Sophie,30/10/2016,None
Rohan,29/10/2016,"a full 5* to this restaurant Chef's..absolutely wonderful authentic cooking, each and every dish made with personal touch, very friendly ontime delivery driver, Reading's best Indian food.. I have been so disappointed with many other delivery food and found the best with Pindi express, I really hope they keep up the super tasty food quality & service standards..very good prices too..very highly recommended, I have nothing but praise . thank you.. 3rd time brilliant food once again."
Ryan,29/10/2016,"Very quick service, hot, tasty food. Highly recommend the Tikka Jalfrezi and the Mixed Veg Curry."
Aggie,28/10/2016,Really delicious!
Louis,26/10/2016,Very good curry dishes would highly recommend A*
Leigha,25/10/2016,Very good food
Costas,23/10/2016,Very tasty food as always and quick service. Cannot fault them at the moment.
matt,22/10/2016,Spot on again. Fast delivery friendley driver :)
Darren,22/10/2016,Delicious food and really good customer service
umair,21/10/2016,"Poor quality food, the biryani ordered was not fresh and had smell in it"
Winston,21/10/2016,None
Steven,21/10/2016,"Good food, delivered quicker than expected"
Harriet,21/10/2016,None
Olivia,16/10/2016,Great although some mango chutney or other sweet type sauce would have taken from great to excellent
matt,15/10/2016,Great as always :)
Rohan,15/10/2016,"nice, spicy & tasty food, generous packages, could have been lot more salad ,otherwise all good..friendly deloivery driver, thanks"
Javaid,13/10/2016,None
Barney,08/10/2016,Very happy with the food
Mandy,07/10/2016,None
Dee,07/10/2016,"Everything went okay with my order, mixed Donner was good so does Biryani.... but partner said biryani from Ambala shop On oxford Rd is best ...!!!"
Melisa,05/10/2016,None
George,04/10/2016,None
Alex,04/10/2016,"Good food at a good price, Quick delivery and a polite driver."
Winston,03/10/2016,None
usman,02/10/2016,The person who delivered the food was a true gentlemen. He left very good impression. Food was delivered on time. All the stuff was hot and properly cooked. I ordered Keema Aloo and Haleem. And I liked both dishes. Salad was fresh and crunchy. I’ve not tried anything else from this place but these traditional dishes were quite amazing. Will definitely order again.
Mandeep,28/09/2016,None
Winston,26/09/2016,None
matt,24/09/2016,Great place to eat :)
Aleem,24/09/2016,"Very good food, regular customer now, highly recommended keema aloo"
Mr,21/09/2016,None
Mandeep,19/09/2016,Food arrived on time and was very delicious. Excellent Service - will order again
Juanita,18/09/2016,None
Hari,16/09/2016,None
dale,13/09/2016,None
John,09/09/2016,"Brilliant take away, always use them, food excellent, I'd give them 10/10 spot on."
